Zip,Number of Sites,ADI_STATERANK,City
53295,9,10.0,Milwaukee
53404,41,8.166666666666666,Racine
53408,2,8.0,Racine
53512,5,9.0,Beloit
53547,9,8.0,Janesville
53573,13,8.171122994652407,Muscoda
53803,4,8.247116968698517,Benton
53806,5,8.787974683544304,Cassville
53817,2,8.0,Patch Grove
53910,24,9.757029177718833,Adams
53934,24,8.894328358208956,Friendship
53936,2,8.396825396825397,Grand Marsh
53939,1,8.0,Kingston
54102,1,9.109947643979057,Amberg
54103,1,8.947136563876652,Armstrong Creek
54104,1,8.389507154213037,Athelstane
54114,16,8.054992764109986,Crivitz
54121,21,8.701898734177215,Florence
54124,15,8.570433436532507,Gillett
54125,3,9.0,Goodman
54135,14,8.589894242068155,Keshena
54150,1,10.0,Neopit
54151,12,8.589083419155509,Niagara
54156,3,8.625172890733056,Pembine
54174,9,8.637809187279151,Suring
54221,1,10.0,Manitowoc
54241,28,8.32753108348135,Two Rivers
54308,4,9.0,Green Bay
54402,2,9.620134730538922,Wausau
54409,50,8.80937167199148,Antigo
54416,6,8.8562874251497,Bowler
54425,6,8.613463626492942,Dorchester
54429,1,9.655737704918034,Elderon
54450,2,8.0,Mattoon
54469,8,8.506702412868632,Port Edwards
54470,6,8.501295336787564,Rib Lake
54486,5,8.788550323176361,Tigerton
54490,2,8.461538461538462,Westboro
54491,4,8.40595399188092,White Lake
54499,13,8.133073929961089,Wittenberg
54514,2,8.07168458781362,Butternut
54515,2,9.041666666666666,Catawba
54526,1,8.68010752688172,Glen Flora
54530,3,9.324225865209472,Hawkins
54532,1,8.976744186046512,Heafford Junction
54534,38,9.240986717267551,Hurley
54542,1,8.184782608695652,Alvin
54546,7,8.970093457943925,Mellen
54550,1,8.840816326530613,Montreal
54556,4,8.694915254237289,Prentice
54566,3,8.566791510611734,Wabeno
54602,1,9.0,La Crosse
54613,1,8.358762886597939,Arkdale
54639,7,8.828471411901983,La Farge
54652,3,8.725165562913908,Readstown
54654,1,9.0,Seneca
54664,7,8.74909090909091,Viola
54743,1,9.0,Gilmanton
54773,35,8.514903129657228,Whitehall
54819,5,9.173439048562933,Bruce
54824,3,8.108585858585858,Centuria
54861,5,8.0,Odanah
54889,10,8.215485074626866,Turtle Lake
54896,2,8.329159212880143,Winter
54903,9,8.05331088664422,Oshkosh
54912,13,9.951590594744122,Appleton
54927,1,8.559748427672956,Butte Des Morts
54936,2,10.0,Fond Du Lac
54957,2,9.0,Neenah
54966,7,8.115019011406844,Plainfield
54978,1,9.0,Tilleda
54985,2,8.0,Winnebago
