Station ID,Name,Lat,Long
USC00472839,FOND DU LAC WWTP,43.79535,-88.45325
USC00475808,NEILLSVILLE 3 ESE,44.5378,-90.535
USC00478937,WAUKESHA WWTP,42.99982,-88.25357
USC00475563,MONDOVI,44.5647,-91.6719
USC00476518,PHELPS,46.0663,-89.0752
USC00475364,MERRILL,45.17849,-89.66154
USC00475164,MATHER 3 NW,44.1746,-90.3482
USC00475120,MARSHFIELD EXPERIMENTAL FARM,44.64113,-90.13332
USC00478951,WAUPACA,44.35475,-89.05951
USC00476398,PARK FALLS DNR HQ,45.9336,-90.4506
USC00473405,HANCOCK EXPERIMENTAL FARM,44.11869,-89.53587
USC00476678,PLYMOUTH WWTP,43.72998,-87.97146
USC00474195,KEWAUNEE,44.4628,-87.50491
USC00204104,IRONWOOD,46.4656,-90.1892
USC00475017,MANITOWOC,44.08688,-87.65219
USC00471078,BRODHEAD WWTP,42.61819,-89.38662
USC00475932,NEW LONDON,44.3587,-88.71877
USC00476922,RACINE WWTP,42.70287,-87.78576
USC00470045,AFTON JANESVILLE WWTP,42.63753,-89.06424
USC00478827,VIROQUA,43.5595,-90.876
USC00476208,OCONTO 4 W,44.89186,-87.95491
USC00472001,DARLINGTON WWTP,42.67831,-90.10607
USC00475255,MEDFORD,45.13075,-90.34396
USC00476827,PRAIRIE DU CHIEN,43.0515,-91.1349
USC00474482,LAKE MILLS WWTP,43.08029,-88.89661
USC00478267,STURGEON BAY EXPERIMENTAL FARM,44.8799,-87.33578
USC00476200,OCONOMOWOC WWTP,43.10027,-88.50352
USC00477113,RHINELANDER,45.59852,-89.45081
USC00478027,SPOONER EXPERIMENTAL FARM,45.8236,-91.8761
USC00475516,MINOCQUA,45.8865,-89.7322
USC00474546,LANCASTER 4 WSW,42.8278,-90.7889
USC00204090,IRON MTN KINGSFORD WWTP,45.7858,-88.0841
USC00478171,STEVENS POINT,44.5115,-89.5853
USC00470273,UW ARBORETUM MADISON,43.04118,-89.42872
USW00014898,GREEN BAY A S INTERNATIONAL AIRPORT,44.47958,-88.1371
US1WIWN0015,OSHKOSH 2.0 W,44.019623,-88.593599
USC00454338,LACROSSE,46.8167,-117.883
USC00476330,OSHKOSH,44.02055,-88.55783
USC00470239,ANTIGO,45.16043,-89.11304
USC00470855,BLACK RIVER FALLS SEWAGE,44.2903,-90.8538
USC00470696,BELOIT,42.50383,-89.0311
US1WIAS0011,ASHLAND 0.6 N,46.58946,-90.87387
USC00475091,MARINETTE,45.09828,-87.62358
USC00478349,SUPERIOR,46.727,-92.072
USC00471923,CUMBERLAND,45.5331,-92.0226
USC00474391,LADYSMITH 3 W,45.46524,-91.12359
USC00477226,RIVER FALLS,44.8544,-92.6122
USC00470486,BALDWIN,44.9633,-92.3905
